FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
11,15,0.468750,-0.750020,297.000000,-0.292969,0.365234
11,16,0.328125,-0.500013,1375.000000,-0.123047,0.304688
11,17,0.375000,-0.500013,1978.000000,-0.128906,0.351562
11,18,0.421875,-0.500013,1297.000000,-0.039062,0.419922
12,1,0.562500,0.750020,64.000000,-0.193359,0.527344
12,2,0.609375,0.750020,134.000000,-0.208984,0.572266
12,3,0.562500,0.875023,66.000000,-0.210938,0.521484
12,4,0.609375,0.875023,126.000000,-0.228516,0.564453
12,5,0.281250,-0.875023,235.000000,-0.070312,0.271484
12,6,0.328125,-0.875023,780.000000,-0.082031,0.318359
12,7,0.375000,-0.875023,924.000000,-0.082031,0.365234
12,8,0.421875,-0.875023,427.000000,-0.091797,0.412109
12,9,0.281250,-0.750020,908.000000,-0.070312,0.271484
12,10,0.328125,-0.750020,2811.000000,-0.082031,0.318359
12,11,0.375000,-0.750020,3286.000000,-0.082031,0.365234
12,12,0.421875,-0.750020,1505.000000,-0.091797,0.412109
12,13,0.468750,-0.750020,226.000000,-0.087891,0.460938
12,14,0.281250,-0.625017,1140.000000,0.017578,0.281250
12,15,0.328125,-0.625017,2676.000000,-0.091797,0.314453
12,16,0.375000,-0.625017,3146.000000,-0.105469,0.359375
12,17,0.421875,-0.625017,1466.000000,-0.105469,0.408203
12,18,0.468750,-0.625017,214.000000,-0.117188,0.453125
12,19,0.281250,-0.500013,702.000000,0.017578,0.281250
12,20,0.328125,-0.500013,1032.000000,0.021484,0.328125
12,21,0.375000,-0.500013,903.000000,-0.128906,0.351562
12,22,0.421875,-0.500013,472.000000,-0.144531,0.396484
12,23,0.328125,-0.375010,477.000000,-0.144531,0.294922
12,24,0.375000,-0.375010,361.000000,-0.164062,0.337891
12,25,0.562500,0.750020,55.000000,0.000000,0.562500
12,26,0.562500,0.875023,54.000000,-0.017578,0.562500
12,27,0.281250,-0.625017,896.000000,-0.080078,0.269531
12,28,0.328125,-0.625017,2070.000000,0.021484,0.328125
12,29,0.328125,-0.500013,813.000000,-0.103516,0.312500
12,30,0.375000,-0.500013,716.000000,0.035156,0.373047
13,1,0.515625,0.750020,95.000000,-0.193359,0.478516
13,2,0.562500,0.750020,130.000000,-0.228516,0.513672
13,3,0.515625,0.875023,94.000000,-0.033203,0.515625
13,4,0.562500,0.875023,132.000000,-0.035156,0.560547
13,5,0.234375,-0.875023,357.000000,-0.044922,0.230469
13,6,0.281250,-0.875023,1694.000000,-0.052734,0.275391
13,7,0.328125,-0.875023,2664.000000,-0.062500,0.322266
13,8,0.375000,-0.875023,1665.000000,-0.070312,0.369141
13,9,0.421875,-0.875023,369.000000,-0.080078,0.414062
13,10,0.234375,-0.750020,841.000000,-0.037109,0.232422
13,11,0.281250,-0.750020,3707.000000,-0.044922,0.277344
13,12,0.328125,-0.750020,5705.000000,-0.050781,0.324219
13,13,0.375000,-0.750020,3547.000000,-0.058594,0.371094
13,14,0.421875,-0.750020,805.000000,-0.066406,0.416016
13,15,0.234375,-0.625017,684.000000,-0.050781,0.228516
13,16,0.281250,-0.625017,2743.000000,-0.052734,0.275391
13,17,0.328125,-0.625017,4174.000000,-0.050781,0.324219
13,18,0.375000,-0.625017,2613.000000,-0.058594,0.371094
13,19,0.421875,-0.625017,634.000000,-0.066406,0.416016
13,20,0.281250,-0.500013,456.000000,0.027344,0.279297
13,21,0.328125,-0.500013,741.000000,0.021484,0.328125
13,22,0.375000,-0.500013,393.000000,0.023438,0.375000
13,23,0.515625,0.750020,73.000000,0.000000,0.515625
13,24,0.562500,0.750020,128.000000,-0.017578,0.562500
13,25,0.609375,0.750020,72.000000,-0.248047,0.556641
13,26,0.515625,0.875023,75.000000,-0.226562,0.462891
13,27,0.562500,0.875023,107.000000,-0.246094,0.505859
13,28,0.281250,-0.500013,387.000000,-0.062500,0.275391
13,29,0.375000,-0.500013,392.000000,-0.046875,0.373047
14,1,0.468750,0.750020,117.000000,0.044922,0.466797
14,2,0.515625,0.750020,188.000000,0.048828,0.513672
14,3,0.562500,0.750020,120.000000,0.052734,0.560547
14,4,0.234375,-1.000027,708.000000,-0.080078,0.220703
14,5,0.281250,-1.000027,1336.000000,-0.087891,0.267578
14,6,0.328125,-1.000027,1002.000000,-0.103516,0.312500
14,7,0.375000,-1.000027,286.000000,-0.117188,0.355469
14,8,0.515625,-1.000027,81.000000,-0.162109,0.490234
14,9,0.234375,-0.875023,796.000000,-0.103516,0.210938
14,10,0.281250,-0.875023,1463.000000,-0.123047,0.253906
14,11,0.328125,-0.875023,1210.000000,-0.041016,0.326172
14,12,0.375000,-0.875023,466.000000,-0.058594,0.371094
14,13,0.234375,-0.750020,638.000000,-0.044922,0.230469
14,14,0.281250,-0.750020,1615.000000,-0.062500,0.275391
14,15,0.328125,-0.750020,1604.000000,-0.072266,0.320312
14,16,0.375000,-0.750020,665.000000,-0.082031,0.365234
14,17,0.421875,-0.750020,132.000000,-0.080078,0.414062
14,18,0.234375,-0.625017,868.000000,-0.021484,0.232422
14,19,0.281250,-0.625017,1832.000000,-0.017578,0.281250
14,20,0.328125,-0.625017,1599.000000,-0.009766,0.328125
14,21,0.375000,-0.625017,512.000000,0.000000,0.375000
14,22,0.187500,-0.500013,285.000000,0.035156,0.183594
14,23,0.234375,-0.500013,885.000000,0.044922,0.230469
14,24,0.281250,-0.500013,1511.000000,0.044922,0.277344
14,25,0.328125,-0.500013,1255.000000,0.050781,0.324219
14,26,0.375000,-0.500013,422.000000,0.058594,0.371094
14,27,0.234375,-0.375010,518.000000,0.029297,0.232422
14,28,0.281250,-0.375010,1044.000000,0.027344,0.279297
14,29,0.328125,-0.375010,888.000000,0.031250,0.326172
14,30,0.234375,-0.875023,639.000000,-0.021484,0.232422
14,31,0.281250,-0.875023,1358.000000,-0.035156,0.279297
14,32,0.328125,-0.875023,1027.000000,-0.144531,0.294922
14,33,0.234375,-0.750020,516.000000,0.021484,0.232422
14,34,0.281250,-0.750020,1291.000000,0.027344,0.279297
14,35,0.328125,-0.750020,1187.000000,0.031250,0.326172
14,36,0.375000,-0.625017,413.000000,-0.128906,0.351562
14,37,0.187500,-0.500013,226.000000,-0.035156,0.183594
14,38,0.234375,-0.500013,798.000000,-0.044922,0.230469
14,39,0.281250,-0.500013,1325.000000,-0.052734,0.275391
14,40,0.328125,-0.500013,1041.000000,-0.062500,0.322266
14,41,0.375000,-0.500013,389.000000,-0.070312,0.369141
15,1,0.234375,-1.000027,558.000000,-0.095703,0.214844
15,2,0.281250,-1.000027,426.000000,-0.123047,0.253906
15,3,0.328125,-1.000027,132.000000,-0.144531,0.294922
15,4,0.187500,-0.875023,367.000000,-0.005859,0.187500
15,5,0.234375,-0.875023,899.000000,0.000000,0.234375
15,6,0.281250,-0.875023,888.000000,0.000000,0.281250
15,7,0.328125,-0.875023,382.000000,-0.103516,0.312500
15,8,0.187500,-0.750020,683.000000,0.005859,0.187500
15,9,0.234375,-0.750020,2065.000000,0.007812,0.234375
15,10,0.281250,-0.750020,2364.000000,0.000000,0.281250
15,11,0.328125,-0.750020,1109.000000,0.000000,0.328125
15,12,0.375000,-0.750020,197.000000,0.000000,0.375000
15,13,0.187500,-0.625017,785.000000,0.005859,0.187500
15,14,0.234375,-0.625017,2670.000000,0.007812,0.234375
15,15,0.281250,-0.625017,3281.000000,0.017578,0.281250
15,16,0.328125,-0.625017,1604.000000,0.021484,0.328125
15,17,0.375000,-0.625017,272.000000,0.035156,0.373047
15,18,0.187500,-0.500013,469.000000,0.017578,0.187500
15,19,0.234375,-0.500013,1716.000000,0.021484,0.232422
15,20,0.281250,-0.500013,2185.000000,0.027344,0.279297
15,21,0.328125,-0.500013,1085.000000,0.031250,0.326172
15,22,0.375000,-0.500013,170.000000,0.046875,0.373047
15,23,0.187500,-0.250007,468.000000,0.076172,0.171875
15,24,0.234375,-0.250007,785.000000,0.095703,0.214844
15,25,0.281250,-0.250007,499.000000,0.123047,0.253906
15,26,0.187500,-0.125003,406.000000,0.070312,0.173828
15,27,0.234375,-0.125003,661.000000,0.087891,0.216797
15,28,0.281250,-0.125003,403.000000,0.115234,0.257812
15,29,0.234375,-1.000027,424.000000,-0.021484,0.232422
15,30,0.281250,-1.000027,359.000000,-0.027344,0.279297
15,31,0.328125,-1.000027,103.000000,-0.031250,0.326172
15,32,0.187500,-0.875023,328.000000,-0.070312,0.173828
15,33,0.234375,-0.875023,742.000000,-0.080078,0.220703
15,34,0.281250,-0.875023,782.000000,-0.097656,0.263672
15,35,0.328125,-0.875023,381.000000,-0.009766,0.328125
15,36,0.375000,-0.750020,148.000000,-0.175781,0.332031
15,37,0.187500,-0.500013,343.000000,-0.052734,0.179688
15,38,0.234375,-0.500013,1324.000000,-0.066406,0.224609
15,39,0.281250,-0.500013,1739.000000,-0.080078,0.269531
15,40,0.328125,-0.500013,885.000000,-0.091797,0.314453
15,41,0.375000,-0.500013,133.000000,-0.105469,0.359375
15,42,0.187500,-0.250007,353.000000,0.005859,0.187500
