FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
39,6,0.234375,0.125003,670.000000,0.087891,0.216797
39,7,0.281250,0.125003,529.000000,0.087891,0.267578
39,8,0.140625,0.250007,123.000000,0.056641,0.128906
39,9,0.187500,0.250007,396.000000,0.076172,0.171875
39,10,0.234375,0.250007,493.000000,0.087891,0.216797
39,11,0.281250,0.250007,322.000000,0.087891,0.267578
39,12,0.140625,-0.875023,270.000000,-0.048828,0.132812
39,13,0.187500,-0.875023,939.000000,-0.064453,0.175781
39,14,0.234375,-0.875023,1157.000000,-0.087891,0.216797
39,15,0.281250,-0.875023,554.000000,-0.105469,0.261719
39,16,0.328125,-0.875023,91.000000,-0.287109,0.158203
39,17,0.421875,-0.875023,101.000000,-0.132812,0.400391
39,18,0.140625,-0.750020,418.000000,-0.035156,0.136719
39,19,0.187500,-0.750020,1302.000000,-0.052734,0.179688
39,20,0.234375,-0.750020,1611.000000,-0.074219,0.222656
39,21,0.281250,-0.750020,798.000000,-0.175781,0.218750
39,22,0.328125,-0.750020,188.000000,-0.195312,0.263672
39,23,0.375000,-0.750020,85.000000,0.000000,0.375000
39,24,0.421875,-0.750020,80.000000,-0.013672,0.421875
39,25,0.140625,-0.625017,431.000000,-0.031250,0.136719
39,26,0.187500,-0.625017,1420.000000,-0.064453,0.175781
39,27,0.234375,-0.625017,1965.000000,-0.080078,0.220703
39,28,0.281250,-0.625017,1143.000000,-0.087891,0.267578
39,29,0.328125,-0.625017,249.000000,-0.091797,0.314453
39,30,0.187500,-0.375010,467.000000,-0.005859,0.187500
39,31,0.234375,-0.375010,597.000000,-0.007812,0.234375
39,32,0.281250,-0.375010,320.000000,-0.009766,0.281250
39,33,0.187500,-0.250007,218.000000,-0.017578,0.187500
39,34,0.234375,-0.250007,488.000000,-0.015625,0.234375
39,35,0.281250,-0.250007,458.000000,-0.009766,0.281250
39,36,0.234375,-0.125003,590.000000,-0.007812,0.234375
39,37,0.281250,-0.125003,518.000000,-0.009766,0.281250
39,38,0.187500,0.000000,251.000000,0.082031,0.167969
39,39,0.234375,0.000000,372.000000,0.087891,0.216797
39,40,0.281250,0.000000,331.000000,0.087891,0.267578
